Treatment,Longevity,Censor
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Fumagilin,2,0
Fumagilin,2,0
Fumagilin,2,0
Fumagilin,2,0
Fumagilin,2,0
Fumagilin,2,0
Fumagilin,2,0
Fumagilin,2,0
Fumagilin,2,0
Fumagilin,2,0
Fumagilin,2,0
Fumagilin,2,0
Fumagilin,2,0
Fumagilin,2,0
Fumagilin,2,0
Fumagilin,2,0
Fumagilin,2,0
Fumagilin,2,0
Fumagilin,2,0
Fumagilin,2,0
Fumagilin,2,0
Fumagilin,2,0
Fumagilin,2,0
Fumagilin,2,0
Fumagilin,2,0
Fumagilin,2,0
Fumagilin,2,0
Fumagilin,2,0
Fumagilin,2,0
Fumagilin,2,0
Fumagilin,2,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,4,0
Fumagilin,6,0
Fumagilin,6,0
Fumagilin,6,0
Fumagilin,6,0
Fumagilin,6,0
Fumagilin,6,0
Fumagilin,6,0
Fumagilin,6,0
Fumagilin,6,0
Fumagilin,6,0
Fumagilin,6,0
Fumagilin,6,0
Fumagilin,6,0
Fumagilin,6,0
Fumagilin,6,0
Fumagilin,6,0
Fumagilin,6,0
Fumagilin,6,0
Fumagilin,6,0
Fumagilin,6,0
Fumagilin,6,0
Fumagilin,6,0
Fumagilin,6,0
Fumagilin,6,0
Fumagilin,6,0
Fumagilin,6,0
Fumagilin,6,0
Fumagilin,6,0
Fumagilin,6,0
Fumagilin,6,0
Fumagilin,8,0
Fumagilin,8,0
Fumagilin,8,0
Fumagilin,8,0
Fumagilin,8,0
Fumagilin,8,0
Fumagilin,8,0
Fumagilin,8,0
Fumagilin,8,0
Fumagilin,8,0
Fumagilin,8,0
Fumagilin,8,0
Fumagilin,8,0
Fumagilin,8,0
Fumagilin,8,0
Fumagilin,8,0
Fumagilin,8,0
Fumagilin,10,0
Fumagilin,10,0
Fumagilin,10,0
Fumagilin,10,0
Fumagilin,10,0
Fumagilin,10,0
Fumagilin,10,0
Fumagilin,10,0
Fumagilin,10,0
Fumagilin,10,0
Fumagilin,10,0
Fumagilin,10,0
Fumagilin,10,0
Fumagilin,10,0
Fumagilin,10,0
Fumagilin,10,0
Fumagilin,10,0
Fumagilin,10,0
Fumagilin,10,0
Fumagilin,10,0
Fumagilin,10,0
Fumagilin,10,0
Fumagilin,10,0
Fumagilin,10,0
Fumagilin,10,0
